OBJECTID,PUD_NAME,PUD_WEB_URL,PUD_CHANGE_NARRATIVE,PUD_ZONING,PUD_STATUS,PUD_CASE_NUMBER,SHAPEAREA,SHAPELEN,GLOBALID,WARD
2780,Deanwood Hills LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,DC Register 12/21/15 Approved,R-5-B,Final,15-10,0,0,{BAD88844-D437-4E8D-BEFD-CA23550D9ACF},Ward 7
2781,Jair Lynch Development Partners,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,DC Register 4/22/16,CR,Final,13-14A,0,0,{CCED4B85-90E2-4036-B420-5318142DBD97},Ward 5
2782,Stanton Square LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Setdown 7/27/15, Approved 4/11/16","R-5-A, SP-1",Final,13-09,0,0,{5A0D7FBE-2F13-4867-B974-00638999AD07},Ward 8
2783,P.N. Hoffman Inc & Riverside Baptist Church,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,DC Register 3/18/16,C-3-A,Final,15-05,0,0,{00115CFC-4076-4A9E-8FAE-AE009053F4ED},Ward 6
2784,J River 1401 Pennsylvania Ave LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,DC Register 4/28/16,C-2-B,Final,15-12,0,0,{FC11D52B-E538-4CEB-8B4F-6BC3208D0A82},Ward 6
2785,District of Columbia Water and Sewer Authority,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 7/27/15,CG/CR,Final,15-14,0,0,{BBF64E3F-F7E5-40F5-8D60-2D15C5484F1D},Ward 6
2786,Level 2 Development,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Approved DC Register 8/21/15,C-3-C,Final,15-01,0,0,{0600C4F8-5538-4ED9-9453-D5130EBFC47E},Ward 5
2787,Sursum Corda Cooperative Association,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,DC Register 6/17/16,C-3-C,Final,15-20,0,0,{CA29A4D9-776A-489A-B45C-A496FE376F78},Ward 6
2788,Watkins Alley LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown case 11/9/15,R-5-B,Pending,15-13,0,0,{8EAD64D5-CBD4-4923-AB56-F43E5185D64C},Ward 6
2789,JBG/Boundary 1500 Hary Thomas LLC & JBG/Boundary Eckington Place LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 11/23/15,CR,Pending,15-15,0,0,{0B61EF7A-F2BB-4726-90D0-5EAA0ED17E1E},Ward 5
2790,MRP Rhode Island Investors LLC & B&R Associates LP & Sandrock LP,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 11/23/15,C-3-A,Pending,15-16,0,0,{622DD19B-FB7A-4CB9-A1DB-B1D37F5AC98D},Ward 5
2792,Kenilworth Revitalization LLC & DCHA,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 12/15/15,"R-5-B, C-2-A",Pending,15-21,0,0,{365CB8D7-7040-4286-B603-31461276D4D7},Ward 7
2793,411 New York Ave Holdings LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 11/23/15,C-3-C,Pending,15-19,0,0,{2DEF53F9-56AD-476B-BB0B-521FC166D14C},Ward 5
2791,301 FL Manager LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 11/23/15,C-3-C,Final,15-22,0,0,{48CEF20D-1FF0-42E5-95F5-67307551FD55},Ward 6
2794,Gallaudet University & The JBG Companies,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 2/8/16,"C-3-A, C-3-C",Pending,15-24,0,0,{5F5B2619-8142-4FA5-B1D4-7268299C86AC},Ward 5
2795,Foulger-Pratt Development LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 2/8/16,C-3-C,Pending,15-28,0,0,{0A811C26-AD84-473C-BC40-69EA205CD77D},Ward 6
2796,Jemals Gateway DC LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 2/8/16,C-2-B,Pending,15-29,0,0,{7DE91C4C-003A-4E9C-A3D0-EC50DA458ACF},Ward 4
2797,Insight E Street LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 2/8/16,R-5-B,Pending,15-33,0,0,{97E08471-3077-4002-9573-78CCDCA0C1F6},Ward 6
2798,DC Stadium LLC,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 3/14/16,CG/CR,Pending,16-02,0,0,{C17B101A-8AEE-4825-938C-CADFCC3C3724},Ward 6
2799,Initio LP,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,Setdown 4/11/16,W-2,Pending,15-18,0,0,{EB6D0AF4-9ECF-4DC6-9B72-0ED3737D9E78},Ward 2
2631,Public Space Utilization Act App.,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-4,Final,01-07,0,0,{13A50021-CD80-4D3F-85A8-FD231A92D0C1},Ward 2
2632,DOT Headquarters- SE Federal Center,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",C-3-C,Final,03-05,0,0,{0AAFFC8B-05C2-4A63-8D7B-5635995120BD},Ward 6
2633,Joseph Horning & Norris Dodson Realty,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",R-5-A,Final,82-6,0,0,{8C6826BA-913C-4664-B1B9-4C8F4258E08A},Ward 5
2634,CESC 1229-1231 TRS & CESC 1227,http://www.dcregs.org/Gateway/ChapterHome.aspx?ChapterNumber=11-24,"Official Digital Zoning Map of July 1, 2010",CR,Final,06-35,0,0,{4412172C-EB68-4A24-84B6-AF2C5D14EC86},Ward 2
